State;Name;Party;Date assumed office;;
Missouri;Roy Blunt;Republican;January 5, 2011;;
Missouri;Josh Hawley;Republican;January 3, 2019;;
Montana;Steve Daines;Republican;January 6, 2015;;
Montana;Jon Tester;Democratic;January 4, 2007;;
Nebraska;Deb Fischer;Republican;January 3, 2013;;
Nebraska;Ben Sasse;Republican;January 6, 2015;;
Nevada;Catherine Cortez Masto;Democratic;January 3, 2017;;
Nevada;Jacky Rosen;Democratic;January 3, 2019;;
Hampshire;Maggie Hassan;Democratic;January 3, 2017;;
Hampshire;Jeanne Shaheen;Democratic;January 6, 2009;;
New Jersey;Cory Booker;Democratic;October 31, 2013;;
New Jersey;Bob Menendez;Democratic;January 18, 2006;;
New Mexico;Martin Heinrich;Democratic;January 3, 2013;;
New Mexico;Ben Ray Luján;Democratic;January 3, 2021;;
New York;Kirsten Gillibrand;Democratic;January 26, 2009;;
New York;Chuck Schumer;Democratic;January 6, 1999;;
North Carolina;Richard Burr;Republican;January 4, 2005;;
North Carolina;Thom Tillis;Republican;January 6, 2015;;
North Dakota;Kevin Cramer;Republican;January 3, 2019;;
North Dakota;John Hoeven;Republican;January 5, 2011;;
Ohio;Sherrod Brown;Democratic;January 4, 2007;;
Ohio;Rob Portman;Republican;January 5, 2011;;
Oklahoma;Jim Inhofe;Republican;November 17, 1994;;
Oklahoma;James Lankford;Republican;January 6, 2015;;
Oregon;Jeff Merkley;Democratic;2009;;
Oregon;Ron Wyden;Democratic;January 30, 1996;;
Pennsylvania;Bob Casey Jr.;Democratic;January 4, 2007;;
Pennsylvania;Pat Toomey;Republican;January 5, 2011;;
Rhode Island;Jack Reed;Democratic;January 7, 1997;;
Rhode Island;Sheldon Whitehouse;Democratic;January 4, 2007;;
South Carolina;Lindsey Graham;Republican;January 7, 2003;;
South Carolina;Tim Scott;Republican;January 2, 2013;;
South Dakota;Mike Rounds;Republican;January 6, 2015;;
South Dakota;John Thune;Republican;January 4, 2005;;
Tennessee;Marsha Blackburn;Republican;January 3, 2019;;
Tennessee;Bill Hagerty;Republican;January 3, 2021;;
Texas;John Cornyn;Republican;December 2, 2002;;
Texas;Ted Cruz;Republican;January 3, 2013;;
Utah;Mike Lee;Republican;January 5, 2011;;
Utah;Mitt Romney;Republican;January 3, 2019;;
Vermont;Patrick Leahy;Democratic;January 3, 1975;;
Vermont;Bernie Sanders;Independent;January 4, 2007;;
Virginia;Tim Kaine;Democratic;January 3, 2013;;
Virginia;Mark Warner;Democratic;January 6, 2009;;
Washington;Maria Cantwell;Democratic;2001;;
Washington;Patty Murray;Democratic;1993;;
West Virginia;Shelley Moore Capito;Republican;January 6, 2015;;
West Virginia;Joe Manchin III;Democratic;November 15, 2010;;
Wisconsin;Tammy Baldwin;Democratic;January 3, 2013;;
Wisconsin;Ronald Harold Johnson;Republican;2011;;
Wyoming;John Barrasso;Republican;June 25, 2007;;
Wyoming;Cynthia Lummis;Republican;January 3, 2021;;
