State;Name;Party;Date assumed office;;
Alabama;Richard Shelby;Republican;1987;;
Alabama;Tommy Tuberville;Republican;January 3, 2021;;
Alaska;Lisa Murkowski;Republican;December 20, 2002;;
Alaska;Daniel S. Sullivan;Republican;January 6, 2015;;
Arizona;Mark Kelly;Democratic;December 2, 2020;;
Arizona;Kyrsten Sinema;Democratic;January 3, 2019;;
Arkansas;John Boozman;Republican;January 5, 2011;;
Arkansas;Tom Cotton;Republican;January 6, 2015;;
California;Dianne Feinstein;Democratic;1993;;
U.S. Senate California;Alex Padilla;Democratic;January 20, 2021;;
Colorado;Michael Bennet;Democratic;2009;;
Colorado;John Hickenlooper;Democratic;January 3, 2021;;
Connecticut;Richard Blumenthal;Democratic;January 5, 2011;;
Connecticut;Christopher S. Murphy;Democratic;January 3, 2013;;
Delaware;Tom Carper;Democratic;January 3, 2001;;
Delaware;Chris Coons;Democratic;November 15, 2010;;
Florida;Marco Rubio;Republican;January 5, 2011;;
Florida;Rick Scott;Republican;January 3, 2019;;
Georgia;Jon Ossoff;Democratic;January 20, 2021;;
Georgia;Raphael Warnock;Democratic;January 20, 2021;;
Hawaii;Mazie K. Hirono;Democratic;January 3, 2013;;
Hawaii;Brian E. Schatz;Democratic;December 27, 2012;;
Idaho;Mike Crapo;Republican;January 6, 1999;;
Idaho;Jim Risch;Republican;2009;;
Illinois;Tammy Duckworth;Democratic;January 3, 2017;;
Illinois;Dick Durbin;Democratic;January 7, 1997;;
Indiana;Mike Braun;Republican;January 3, 2019;;
Indiana;Todd C. Young;Republican;January 3, 2017;;
Iowa;Joni Ernst;Republican;January 3, 2015;;
Iowa;Chuck Grassley;Republican;1981;;
Kansas;Roger Marshall;Republican;January 3, 2021;;
Kansas;Jerry Moran;Republican;January 5, 2011;;
Kentucky;Mitch McConnell;Republican;1985;;
Kentucky;Rand Paul;Republican;January 5, 2011;;
Louisiana;Bill Cassidy;Republican;January 6, 2015;;
Louisiana;John Neely Kennedy;Republican;January 3, 2017;;
Maine;Susan Collins;Republican;January 7, 1997;;
Maine;Angus King;Independent;January 3, 2013;;
Maryland;Ben Cardin;Democratic;January 4, 2007;;
Maryland;Chris Van Hollen;Democratic;January 3, 2017;;
Massachusetts;Edward J. Markey;Democratic;July 16, 2013;;
Massachusetts;Elizabeth Warren;Democratic;January 3, 2013;;
Michigan;Gary Peters;Democratic;January 6, 2015;;
Michigan;Debbie Stabenow;Democratic;January 3, 2001;;
Minnesota;Amy Klobuchar;Democratic;January 4, 2007;;
Minnesota;Tina Smith;Democratic;January 3, 2018;;
Mississippi;Cindy Hyde-Smith;Republican;2018;;
Mississippi;Roger Wicker;Republican;December 31, 2007;;
